Month,Day,Year,Open,High,Low,Close,Adj Close,Volume
9,23,2019,1556.920044,1563.640015,1515.640015,1520.47998,1520.47998,16722640000
9,30,2019,1521.48999,1539.089966,1462.219971,1500.699951,1500.699951,17244790000
10,7,2019,1498.709961,1525.829956,1472.550049,1511.900024,1511.900024,15880820000
10,14,2019,1507.329956,1542.660034,1499.97998,1535.47998,1535.47998,15507120000
10,21,2019,1541.72998,1562.560059,1541.72998,1558.709961,1558.709961,17288670000
10,28,2019,1563.5,1589.329956,1552.869995,1589.329956,1589.329956,19004660000
11,4,2019,1597.099976,1608.800049,1587.02002,1598.859985,1598.859985,20794290000
11,11,2019,1592.75,1604.640015,1581.060059,1596.449951,1596.449951,16692290000
11,18,2019,1594.109985,1602.959961,1581.040039,1588.939941,1588.939941,18074100000
11,25,2019,1594.48999,1634.77002,1594.48999,1624.5,1624.5,12893650000
12,2,2019,1626.560059,1637.900024,1589.72998,1633.839966,1633.839966,17504100000
12,9,2019,1631.469971,1654.069946,1626.369995,1637.97998,1637.97998,17765280000
12,16,2019,1647.199951,1674.430054,1647.199951,1671.900024,1671.900024,22184930000
12,23,2019,1673.97998,1681.680054,1666.189941,1669.030029,1669.030029,8954750000
12,30,2019,1669.880005,1678.140015,1648.540039,1660.869995,1660.869995,12861110000
1,6,2020,1650.660034,1671.819946,1645.51001,1657.640015,1657.640015,17721020000
1,13,2020,1658.97998,1715.079956,1652.319946,1699.640015,1699.640015,18135300000
1,20,2020,1695.449951,1695.449951,1653.189941,1662.22998,1662.22998,15204110000
1,27,2020,1660.819946,1663.77002,1610.640015,1614.060059,1614.060059,19282920000
2,3,2020,1618.800049,1689.170044,1618.800049,1656.780029,1656.780029,19500010000
2,10,2020,1654.920044,1696.540039,1653.670044,1687.579956,1687.579956,18077170000
2,17,2020,1686.030029,1698.910034,1673.199951,1678.609985,1678.609985,15292560000
2,24,2020,1676.650024,1676.650024,1448.209961,1476.430054,1476.430054,31566850000
3,2,2020,1476.589966,1539.73999,1417.27002,1449.219971,1449.219971,29965390000
3,9,2020,1396.23999,1396.23999,1109.390015,1210.130005,1210.130005,40664410000
3,16,2020,1174.969971,1174.969971,966.219971,1013.890015,1013.890015,41985050000
3,23,2020,1014.080017,1180.319946,966.419983,1131.98999,1131.98999,37243200000
3,30,2020,1134.140015,1164.630005,1035.390015,1052.050049,1052.050049,30852490000
4,6,2020,1085.880005,1250.130005,1085.880005,1246.72998,1246.72998,27229510000
4,13,2020,1240.910034,1251.880005,1154.52002,1229.099976,1229.099976,27176880000
4,20,2020,1220.630005,1238.310059,1173.910034,1233.050049,1233.050049,26590900000
4,27,2020,1243.469971,1373.390015,1241.910034,1260.47998,1260.47998,28845520000
5,4,2020,1254.880005,1330.109985,1234.01001,1329.640015,1329.640015,24823610000
5,11,2020,1320.369995,1333.849976,1181.089966,1256.98999,1256.98999,27249840000
5,18,2020,1290.900024,1355.77002,1290.900024,1355.530029,1355.530029,25310860000
5,25,2020,1361.160034,1450.369995,1361.160034,1394.040039,1394.040039,24991070000
6,1,2020,1396.290039,1525.560059,1395.51001,1507.150024,1507.150024,30977470000
6,8,2020,1510.589966,1537.619995,1349.390015,1387.680054,1387.680054,34390750000
6,15,2020,1381.410034,1473.75,1343.599976,1418.630005,1418.630005,28959080000
6,22,2020,1417.670044,1454.119995,1374.400024,1378.780029,1378.780029,27951760000
6,29,2020,1383.040039,1459.410034,1381.040039,1431.859985,1431.859985,17826770000
7,6,2020,1435.949951,1461.280029,1384.099976,1422.680054,1422.680054,23635640000
7,13,2020,1427.359985,1485.050049,1393.900024,1473.319946,1473.319946,22082120000
7,20,2020,1471.670044,1507.23999,1461.300049,1467.550049,1467.550049,20789280000
7,27,2020,1468.22998,1501.859985,1457.619995,1480.430054,1480.430054,21774140000
8,3,2020,1485.48999,1569.26001,1483.369995,1569.180054,1569.180054,21777340000
8,10,2020,1573.75,1603.599976,1567.880005,1577.880005,1577.880005,19619500000
8,17,2020,1579.47998,1586.52002,1545.359985,1552.47998,1552.47998,17745410000
8,24,2020,1559.959961,1578.339966,1554.099976,1578.339966,1578.339966,18975990000
8,31,2020,1577.550049,1595.040039,1501.52002,1535.300049,1535.300049,22095960000
9,7,2020,1534.369995,1543.430054,1484.949951,1497.27002,1497.27002,16545570000
9,14,2020,1499.380005,1572.060059,1499.380005,1536.780029,1536.780029,24071910000
9,21,2020,1533.920044,1533.920044,1432.569946,1474.910034,1474.910034,21594480000
9,28,2020,1477.430054,1544.5,1477.430054,1539.300049,1539.300049,20402660000
10,5,2020,1541.199951,1645.040039,1541.199951,1637.550049,1637.550049,19772590000
10,12,2020,1642.459961,1652.050049,1598.48999,1633.810059,1633.810059,19317950000
10,19,2020,1636.839966,1647.050049,1603.77002,1640.5,1640.5,19936550000
10,26,2020,1635.219971,1635.219971,1526.219971,1538.47998,1538.47998,22860370000
11,2,2020,1540.859985,1667.150024,1540.859985,1648.26001,1648.26001,23047080000
11,9,2020,1652.109985,1749.359985,1652.109985,1744.040039,1744.040039,28872780000
11,16,2020,1747.02002,1805.199951,1747.02002,1785.339966,1785.339966,23992240000
11,23,2020,1787.23999,1862.170044,1787.23999,1855.27002,1855.27002,19026670000
11,30,2020,1854.869995,1892.449951,1813.560059,1892.449951,1892.449951,26933100000
12,7,2020,1892.719971,1935.27002,1881.699951,1911.699951,1911.699951,23655640000
12,14,2020,1914.150024,1992.719971,1913.859985,1969.98999,1969.98999,24367880000
12,21,2020,1967.930054,2013.969971,1934.660034,2003.949951,2003.949951,14464830000
12,28,2020,2013.48999,2026.23999,1950.819946,1974.859985,1974.859985,13262640000
1,4,2021,1975.780029,2113.879883,1927.150024,2091.659912,2091.659912,25542330000
1,11,2021,2088.800049,2164.320068,2061.639893,2123.199951,2123.199951,24631190000
1,18,2021,2125.51001,2173.72998,2118.77002,2168.76001,2168.76001,19193280000
1,25,2021,2168.719971,2194.860107,2066.590088,2073.639893,2073.639893,36751000000
2,1,2021,2075.01001,2233.330078,2075.01001,2233.330078,2233.330078,25573900000
2,8,2021,2234.350098,2318.090088,2234.350098,2289.360107,2289.360107,22779770000
2,15,2021,2290.570068,2310.090088,2208.48999,2266.689941,2266.689941,19428610000
2,22,2021,2265.870117,2289.070068,2165.860107,2201.050049,2201.050049,31300040000
3,1,2021,2203.030029,2279.540039,2085.120117,2192.209961,2192.209961,30870960000
3,8,2021,2192.649902,2354.199951,2192.47998,2352.790039,2352.790039,27021810000
3,15,2021,2352.790039,2360.169922,2247.570068,2287.550049,2287.550049,26950850000
3,22,2021,2287.929932,2294.040039,2100.27002,2221.47998,2221.47998,24199790000
3,29,2021,2219.310059,2253.899902,2151.550049,2253.899902,2253.899902,17489870000
4,5,2021,2280.800049,2280.830078,2213.840088,2243.469971,2243.469971,19754600000
4,12,2021,2244.330078,2273.149902,2208.199951,2262.669922,2262.669922,19506210000
4,19,2021,2261.110107,2281.219971,2171.679932,2271.860107,2271.860107,19855210000
4,26,2021,2275.340088,2322.909912,2259.300049,2266.449951,2266.449951,19845940000
5,3,2021,2268.620117,2288.570068,2205.590088,2271.629883,2271.629883,21280680000
5,10,2021,2271.090088,2271.23999,2132.25,2224.629883,2224.629883,22952900000
5,17,2021,2222.860107,2244.429932,2159.139893,2215.27002,2215.27002,20744780000
5,24,2021,2223.050049,2285.070068,2205.72998,2268.969971,2268.969971,23343500000
5,31,2021,2270.379883,2302.219971,2257,2286.409912,2286.409912,20636100000
6,7,2021,2286.929932,2350.699951,2286.929932,2335.810059,2335.810059,22073020000
6,14,2021,2337.449951,2348.639893,2229.580078,2237.75,2237.75,24868180000
