Month,Day,Year,Open,High,Low,Close,Adj Close,Volume
3,4,2019,7483.790039,7489.080078,7332.919922,7408.140137,7408.140137,4723640000
3,11,2019,7442.560059,7714.959961,7442.399902,7688.529785,7688.529785,12450100000
3,18,2019,7696.379883,7850.109863,7642.569824,7642.669922,7642.669922,12231840000
3,25,2019,7618.97998,7738.169922,7579.290039,7729.319824,7729.319824,10720850000
4,1,2019,7800.240234,7940.450195,7777.089844,7938.689941,7938.689941,11172620000
4,8,2019,7924.890137,7992.089844,7891.850098,7984.160156,7984.160156,10105020000
4,15,2019,7987.160156,8052.399902,7933.569824,7998.060059,7998.060059,8372410000
4,22,2019,7969.370117,8151.839844,7965.899902,8146.399902,8146.399902,9989640000
4,29,2019,8147.649902,8176.080078,7976.77002,8164,8164,10479860000
5,6,2019,7981.850098,8135.540039,7759.339844,7916.939941,7916.939941,11562900000
5,13,2019,7720.069824,7946.22998,7627.220215,7816.279785,7816.279785,10947140000
5,20,2019,7714.060059,7804.439941,7585.319824,7637.009766,7637.009766,9971250000
5,27,2019,7655.660156,7693.740234,7448.22998,7453.149902,7453.149902,8775190000
6,3,2019,7441.209961,7767.02002,7292.220215,7742.100098,7742.100098,11261680000
6,10,2019,7798.870117,7909.990234,7773.970215,7796.660156,7796.660156,9799150000
6,17,2019,7819.430176,8088.879883,7812.609863,8031.709961,8031.709961,11246410000
6,24,2019,8040.580078,8047.560059,7879.149902,8006.240234,8006.240234,12514160000
7,1,2019,8145.850098,8171.970215,8059.290039,8161.790039,8161.790039,7414560000
7,8,2019,8112.910156,8245.660156,8061.319824,8244.139648,8244.139648,9701880000
7,15,2019,8263.179688,8264.780273,8135.120117,8146.490234,8146.490234,9581740000
7,22,2019,8171.990234,8339.639648,8171.540039,8330.209961,8330.209961,9692360000
7,29,2019,8325.099609,8325.280273,7953.669922,8004.069824,8004.069824,11533790000
8,5,2019,7823.330078,8041.120117,7662.899902,7959.140137,7959.140137,12013700000
8,12,2019,7907.490234,8065.240234,7716.549805,7895.990234,7895.990234,11175680000
8,19,2019,8006.180176,8048.580078,7730.77002,7751.77002,7751.77002,9413710000
8,26,2019,7829.580078,8017.910156,7766.669922,7962.879883,7962.879883,8642240000
9,2,2019,7906.439941,8134.419922,7847.319824,8103.069824,8103.069824,7819950000
9,9,2019,8130.910156,8243.799805,8001.680176,8176.709961,8176.709961,11088020000
9,16,2019,8121.640137,8237.429688,8086.160156,8117.669922,8117.669922,10961140000
9,23,2019,8106.490234,8158.830078,7890.279785,7939.629883,7939.629883,10042330000
9,30,2019,7964.089844,8062.5,7700,7982.470215,7982.470215,10468400000
10,7,2019,7956.410156,8115.799805,7823.72998,8057.040039,8057.040039,9245040000
10,14,2019,8044.350098,8183.640137,8036.410156,8089.540039,8089.540039,9049410000
10,21,2019,8137.419922,8249.969727,8078.350098,8243.120117,8243.120117,9234890000
10,28,2019,8285.769531,8386.75,8241.700195,8386.400391,8386.400391,10086190000
11,4,2019,8445.5,8483.160156,8379.330078,8475.30957,8475.30957,11222640000
11,11,2019,8431.259766,8540.830078,8425.480469,8540.830078,8540.830078,10214070000
11,18,2019,8529.160156,8589.759766,8468.629883,8519.879883,8519.879883,10715520000
11,25,2019,8559.650391,8705.910156,8559.650391,8665.469727,8665.469727,7549730000
12,2,2019,8672.839844,8672.839844,8435.400391,8656.530273,8656.530273,10908330000
12,9,2019,8650.860352,8768.870117,8600.820313,8734.879883,8734.879883,10780740000
12,16,2019,8791.30957,8931.910156,8789.769531,8924.959961,8924.959961,13769920000
12,23,2019,8950.200195,9052,8934.360352,9006.620117,9006.620117,6516900000
12,30,2019,9004.450195,9093.429688,8909.19043,9020.769531,9020.769531,9687370000
1,6,2020,8943.5,9235.200195,8943.5,9178.860352,9178.860352,12588670000
1,13,2020,9213.719727,9393.480469,9193.05957,9388.94043,9388.94043,12387850000
1,20,2020,9361.070313,9451.429688,9273.230469,9314.910156,9314.910156,10230010000
1,27,2020,9092.459961,9329.120117,9088.040039,9150.94043,9150.94043,12039010000
2,3,2020,9190.719727,9575.660156,9188.549805,9520.509766,9520.509766,11902480000
2,10,2020,9493.629883,9748.320313,9493.629883,9731.179688,9731.179688,11485690000
2,17,2020,9679.040039,9838.370117,9542.330078,9576.589844,9576.589844,10246170000
2,24,2020,9188.44043,9322.879883,8264.160156,8567.370117,8567.370117,20251980000
3,2,2020,8667.139648,9070.320313,8375.129883,8575.620117,8575.620117,20277070000
3,9,2020,7957.930176,8347.400391,7194.669922,7874.879883,7874.879883,23104400000
3,16,2020,7392.72998,7422.200195,6686.359863,6879.52002,6879.52002,24512120000
3,23,2020,6847.279785,7809.830078,6631.419922,7502.379883,7502.379883,21476910000
3,30,2020,7583.459961,7880.310059,7288.109863,7373.080078,7373.080078,18566200000
4,6,2020,7660.169922,8227.910156,7617.790039,8153.580078,8153.580078,15567990000
